id,gender,idg,condtn,wave,round,position,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,you_call,them_cal,date_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,lawyer_c,academic_c,psychologist_c,doctor/med_c,engineer_c,creative_art/entertain_c,business/entrepreur,real_estate_c,international/human_affairs_c,undecided,speech_pathology_c,undecided,politics_c,sports/athletics_c,other_c,journalism_c,architecture_c,other,law,math,social science/psych,med/biotech,engineering,english/journalism,"history, religion, philosophy","business, econ, finance",education,"bio, chem, physics",social work,undecided,"poli-sci, inter affairs",film,fine arts,languages,architect,other,field_not_submitted,black,caucasian,latino,asian,other,black_o,caucasian_o,latino_o,asian_o,other_o,iid
1.0,0.0,1.0,1.0,1.0,10.0,7.0,5.5,5.5,15.5,0.4,0.267,0.1,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.5,6.7,7.4,8.0,7.2,8.0,7.1,6.85,5.7,1.9,21.0,1.0,4.0,2.0,4.0,2.0,7.0,1.0,1.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,0.8,5.7,7.3,7.3,6.8,6.3,6.5,6.5,5.888888888888889,1.7777777777777777,4.0,6.0,2.0,1.0,19.44,16.670000000000005,13.89,22.22,11.11,16.670000000000005,6.0,7.0,8.0,7.0,6.0,1.0,1.0,0.0,,15.0,20.0,20.0,15.0,15.0,15.0,5.0,7.0,7.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.1,0.1,0.0,1
2.0,0.0,3.0,1.0,1.0,10.0,3.0,5.5,5.5,15.5,0.2,0.25799999999999995,0.8,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.6,7.7,7.1,7.9,7.5,7.5,6.5,7.6,5.5,1.9,24.0,1.0,2.0,2.0,5.0,1.0,5.0,1.0,1.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,4.0,5.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,0.4,6.4,7.0,7.7,6.1,6.5,5.7,6.6,5.9,1.9,3.0,5.0,2.0,,18.920000000000005,18.920000000000005,21.62,27.03,5.409999999999999,8.11,7.0,6.0,8.0,9.0,4.0,0.0,0.0,0.0,,30.0,5.0,40.0,15.0,0.0,10.0,7.0,6.0,9.0,9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.0,2
3.0,0.0,5.0,1.0,1.0,10.0,9.0,5.5,5.5,15.5,0.0,-0.13599999999999998,0.8,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.5,6.5,7.1,7.3,6.2,7.111111111111111,6.0,6.0,4.5,1.9,25.0,2.0,2.0,8.0,4.0,6.0,3.0,1.0,7.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,4.0,2.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0.0,8.1,8.6,9.4,7.7,8.8,8.1,8.2,7.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.0,3
4.0,0.0,7.0,1.0,1.0,10.0,6.0,5.5,5.5,15.5,0.2,-0.007000000000000001,0.8,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.6,7.0,7.1,7.7,7.5,7.7,7.2,7.3,6.5,1.7777777777777777,23.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,1.0,2.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0.3,6.4,8.9,8.6,7.8,7.8,7.1,6.6,5.2,1.8,2.0,4.0,3.0,2.0,24.139999999999997,13.789999999999996,20.69,27.589999999999996,10.340000000000002,3.45,6.0,8.0,7.0,8.0,6.0,0.0,0.0,0.0,,20.0,20.0,20.0,20.0,0.0,20.0,6.0,5.0,6.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.0,4
5.0,0.0,9.0,1.0,1.0,10.0,4.0,5.5,5.5,15.5,0.2,-0.079,0.8,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.3,5.3,7.7,7.6,7.2,7.8,6.2,6.1,6.5,1.7,21.0,1.0,2.0,8.0,1.0,2.0,4.0,1.0,1.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,7.0,10.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,0.6,6.3,6.0,7.0,6.0,5.6,6.2,7.2,3.7,1.7,,7.0,2.0,2.0,15.789999999999996,13.16,18.420000000000005,15.789999999999996,15.789999999999996,21.050000000000004,6.0,6.0,9.0,9.0,9.0,0.0,0.0,0.0,,30.0,10.0,20.0,20.0,10.0,10.0,4.0,5.0,10.0,6.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.0,5
6.0,0.0,11.0,1.0,1.0,10.0,8.0,5.5,5.5,15.5,0.2,0.22399999999999998,0.1,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.5,6.8,7.8,8.6,7.0,8.0,6.3,6.8,5.5,1.8,23.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,4.0,3.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,5.0,7.0,8.0,9.0,5.0,0.6,5.9,7.3,8.0,6.0,5.2,4.4,6.5,4.9,1.8,4.0,3.0,3.0,2.0,10.260000000000002,25.639999999999993,20.509999999999998,23.079999999999995,2.5599999999999996,17.949999999999996,5.0,8.0,9.0,8.0,3.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.1,0.1,0.0,6
7.0,0.0,13.0,1.0,1.0,10.0,5.0,5.5,5.5,15.5,0.2,0.067,0.1,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.7,7.9,7.6,8.2,7.0,7.5,6.7,7.6,6.1,1.7777777777777777,22.0,1.0,4.0,2.0,4.0,1.0,5.0,1.0,1.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,3.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,6.0,6.0,5.0,7.0,7.0,0.4,5.4,6.9,7.7,5.8,7.6,5.5,6.5,5.7,1.6,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8,0.1,0.1,0.0,7
8.0,0.0,15.0,1.0,1.0,10.0,10.0,5.5,5.5,15.5,0.8,-0.053000000000000005,0.8,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.8,8.2,7.8,8.1,7.9,7.444444444444445,6.8,7.7,6.3,2.0,25.0,13.0,2.0,1.0,1.0,1.0,5.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,6.0,10.0,9.090000000000002,18.180000000000003,27.270000000000003,18.180000000000003,18.180000000000003,9.090000000000002,30.0,10.0,20.0,30.0,5.0,5.0,7.0,4.0,8.0,8.0,8.0,1.0,6.4,7.2,7.1,6.0,6.7,6.8,6.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.0,8
9.0,0.0,17.0,1.0,1.0,10.0,1.0,5.5,5.5,15.5,0.7,0.07800000000000003,0.0,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.7,7.0,7.4,7.5,7.8,6.9,6.3,7.1,5.9,2.0,26.0,13.0,6.0,1.0,1.0,1.0,4.0,1.0,9.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,6.0,15.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,1.0,7.3,8.6,8.3,7.4,6.8,6.4,7.0,5.1,2.0,1.0,6.0,2.0,1.0,13.330000000000002,17.78,22.22,22.22,13.330000000000002,11.11,7.0,10.0,8.0,10.0,9.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8,0.1,0.1,0.0,9
10.0,0.0,19.0,1.0,1.0,10.0,2.0,5.5,5.5,15.5,0.2,0.24100000000000002,0.8,25.2,2.3,44.233,7.911,16.511000000000003,16.911,4.511,9.922,0.4,6.333333333333333,7.0,6.4,6.4,6.2,5.777777777777778,6.0,6.0,1.9,26.0,13.0,2.0,4.0,4.0,2.0,6.0,1.0,9.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,10.0,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0,6.0,8.0,10.0,6.0,9.0,0.4,6.1,8.2,7.5,6.7,6.7,8.5,6.6,3.8,1.8,,2.0,2.0,2.0,35.709999999999994,3.5699999999999994,10.710000000000003,28.57,3.5699999999999994,17.860000000000003,10.0,5.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.0,10
1.0,1.0,2.0,1.0,1.0,10.0,5.5,5.5,5.5,5.5,0.0,0.05600000000000001,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.4,5.6,8.8,8.2,5.4,6.4,5.222222222222222,6.2,5.2,1.9,27.0,8.0,2.0,7.0,3.0,1.0,5.0,4.0,2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,7.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,0.0,6.8,7.8,7.2,7.6,7.1,5.1,6.4,3.5,1.9,0.0,7.0,2.0,,19.509999999999998,17.069999999999997,17.069999999999997,17.069999999999997,12.200000000000001,17.069999999999997,8.0,8.0,8.0,6.0,5.0,0.0,0.0,0.0,,35.0,25.0,15.0,15.0,0.0,10.0,7.0,8.0,7.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,11
2.0,1.0,4.0,1.0,1.0,10.0,5.5,5.5,5.5,5.5,0.2,0.155,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.4,7.1,6.6,7.1,6.7,6.9,6.111111111111111,6.9,4.2,1.5,22.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,7.0,20.0,60.0,0.0,0.0,40.0,0.0,0.0,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,9.0,10.0,9.0,0.3,6.2,6.7,9.1,5.9,5.7,4.7,6.9,3.5,1.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,12
3.0,1.0,6.0,1.0,1.0,10.0,5.5,5.5,5.5,5.5,0.4,0.119,0.3,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.4,4.8,7.9,8.8,7.0,5.9,5.888888888888889,6.4,5.111111111111111,1.6,22.0,1.0,4.0,3.0,5.0,2.0,7.0,1.0,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,3.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.625,,10.0,3.0,1.0,20.0,20.0,20.0,20.0,7.5,12.5,3.0,7.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.3,0.1,13
4.0,1.0,8.0,1.0,1.0,10.0,5.5,5.5,5.5,5.5,0.8,-0.056999999999999995,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.8,8.2,7.6,7.4,7.6,6.6,7.444444444444445,7.7,5.5,1.6,23.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,8.0,15.0,30.0,5.0,15.0,40.0,5.0,5.0,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,1.0,7.2,8.1,7.8,8.2,8.7,8.3,7.5,7.3,1.6,,6.0,3.0,,20.0,14.289999999999996,17.139999999999997,22.860000000000003,14.289999999999996,11.430000000000001,9.0,9.0,9.0,9.0,9.0,1.0,1.0,0.0,,30.0,10.0,20.0,30.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,14
