id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3,lawyer_c,academic_c,psychologist_c,doctor/med_c,engineer_c,creative_art/entertain_c,business/entrepreur,real_estate_c,international/human_affairs_c,undecided,speech_pathology_c,undecided,politics_c,sports/athletics_c,other_c,journalism_c,architecture_c,other,law,math,social science/psych,med/biotech,engineering,english/journalism,"history, religion, philosophy","business, econ, finance",education,"bio, chem, physics",social work,undecided,"poli-sci, inter affairs",film,fine arts,languages,architect,other,field_not_submitted,black,caucasian,latino,asian,other,black_o,caucasian_o,latino_o,asian_o,other_o,iid
1.0,0.0,1.0,1.0,6.0,5.0,2.0,2.0,3.0,4.6,139.0,0.2,0.24,0.4,30.4,3.0,19.114,18.234,17.848,18.698,10.018,16.086000000000002,1.0,7.8,7.25,7.0,7.2,7.2,6.5,7.4,6.4,1.4,27.0,8.0,2.0,10.0,1.0,1.0,7.0,2.0,7.0,7.0,2.0,10.0,5.0,7.0,7.0,9.0,1.0,1.0,5.0,9.0,5.0,10.0,3.0,10.0,1.0,10.0,5.0,16.67,16.67,16.67,16.67,16.67,16.67,10.0,7.0,7.0,7.0,5.0,7.0,22.73,15.91,13.64,15.91,13.64,18.18,8.0,10.0,10.0,9.0,10.0,,,,,,0.2,6.6,8.2,8.2,7.8,7.8,7.4,7.4,6.2,1.4,0.0,16.67,16.67,16.67,16.67,16.67,16.67,8.0,9.0,8.0,10.0,10.0,7.0,1.0,1.0,15.789999999999997,17.54,15.789999999999997,17.54,17.54,15.789999999999997,8.0,10.0,10.0,7.0,9.0,7.0,18.87,15.09,13.210000000000003,18.87,15.09,18.87,9.0,10.0,8.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,132
2.0,0.0,3.0,1.0,6.0,5.0,3.0,3.0,3.0,4.6,139.0,0.0,-0.11400000000000002,0.4,30.4,3.0,19.114,18.234,17.848,18.698,10.018,16.086000000000002,0.4,5.2,9.0,9.0,7.2,7.4,4.25,5.6,5.6,2.0,24.0,5.0,4.0,8.0,6.0,1.0,6.0,5.0,2.0,8.0,7.0,6.0,7.0,10.0,8.0,10.0,4.0,3.0,6.0,4.0,8.0,7.0,10.0,9.0,7.0,6.0,5.0,12.77,19.15,17.02,17.02,14.89,19.15,7.0,7.0,7.0,7.0,6.0,7.0,24.32,16.22,13.51,16.22,10.81,18.92,6.0,8.0,7.0,8.0,7.0,,,,,,0.0,6.6,6.2,6.4,7.2,6.6,6.8,6.4,6.0,2.0,,12.77,17.02,19.15,17.02,14.89,19.15,5.0,8.0,7.0,7.0,5.0,7.0,1.0,1.0,15.220000000000002,17.39,17.39,17.39,15.220000000000002,17.39,7.0,7.0,7.0,7.0,7.0,7.0,17.78,15.559999999999999,15.559999999999999,17.78,15.559999999999999,17.78,6.0,7.0,7.0,6.0,7.0,,,,,,0.0,0.0,0.0,0.0,0.0,11.36,18.18,18.18,18.18,15.91,18.18,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,9.0,7.0,6.0,8.0,6.0,,4.0,7.0,7.0,7.0,7.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.2,0.4,0.0,133
3.0,0.0,5.0,1.0,6.0,5.0,4.0,4.0,3.0,4.6,139.0,0.2,-0.04,0.4,30.4,3.0,19.114,18.234,17.848,18.698,10.018,16.086000000000002,0.6,6.5,8.4,8.3,6.2,6.8,4.333333333333333,6.1,6.8,2.0,23.0,10.0,2.0,8.0,10.0,1.0,5.0,3.0,2.0,7.0,4.0,4.0,8.0,9.0,6.0,7.0,8.0,6.0,8.0,5.0,9.0,5.0,7.0,8.0,8.0,8.0,8.0,6.67,20.0,20.0,17.78,20.0,15.559999999999999,6.0,9.0,9.0,7.0,7.0,6.0,20.51,15.38,12.819999999999999,20.51,12.819999999999999,17.95,7.0,8.0,8.0,8.0,8.0,,,,,,0.6,7.2,7.6,7.8,7.2,8.2,6.4,7.0,5.6,2.0,1.0,6.67,22.22,20.0,17.78,17.78,15.559999999999999,7.0,9.0,8.0,7.0,9.0,6.0,1.0,1.0,10.0,18.0,18.0,18.0,18.0,18.0,8.0,9.0,7.0,8.0,7.0,5.0,22.5,17.5,12.5,20.0,12.5,15.0,7.0,8.0,9.0,7.0,9.0,,,,,,0.0,0.0,0.0,,,9.52,19.05,19.05,19.05,19.05,14.289999999999997,,,,,,,7.0,8.0,6.0,8.0,6.0,7.0,8.0,7.0,4.0,8.0,5.0,,7.0,8.0,8.0,7.0,8.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,134
5.0,0.0,7.0,1.0,6.0,5.0,1.0,1.0,3.0,4.6,139.0,0.4,-0.094,0.4,30.4,3.0,19.114,18.234,17.848,18.698,10.018,16.086000000000002,0.6,6.3,7.75,7.5,5.8,6.4,4.75,5.8,7.2,2.0,26.0,3.0,2.0,9.0,6.0,1.0,7.0,2.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,10.0,1.0,7.0,7.0,1.0,8.0,7.0,10.0,10.0,2.0,9.0,6.0,18.18,22.73,18.18,13.64,13.64,13.64,8.0,8.0,8.0,9.0,9.0,7.0,18.75,16.67,14.580000000000002,18.75,18.75,12.5,9.0,10.0,7.0,9.0,6.0,,,,,,0.8,7.6,7.25,8.0,8.0,6.0,4.333333333333333,6.6,6.0,2.0,2.0,18.18,22.73,18.18,13.64,13.64,13.64,8.0,10.0,5.0,7.0,5.0,6.0,3.0,3.0,17.78,22.22,20.0,13.330000000000002,13.330000000000002,13.330000000000002,8.0,8.0,8.0,9.0,9.0,8.0,19.57,15.220000000000002,15.220000000000002,19.57,15.220000000000002,15.220000000000002,8.0,10.0,9.0,6.0,6.0,,,,,,1.0,0.0,1.0,1.0,,17.02,21.28,19.15,14.89,12.77,14.89,,,,,,,8.0,7.0,8.0,9.0,8.0,7.0,9.0,7.0,7.0,8.0,7.0,,8.0,9.0,9.0,7.0,5.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,135
6.0,0.0,8.0,1.0,6.0,5.0,5.0,5.0,3.0,4.6,139.0,0.2,,0.0,30.4,3.0,19.114,18.234,17.848,18.698,10.018,16.086000000000002,0.6,5.8,7.2,8.25,7.2,8.0,6.5,7.1,7.4,1.75,,19.0,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,7.0,8.4,8.4,7.8,8.4,7.0,7.8,1.0,1.4,0.0,12.960000000000003,14.809999999999999,18.52,18.52,18.52,16.67,7.0,9.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,,,12.960000000000003,18.52,18.52,18.52,18.52,12.960000000000003,,,,,,,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,8.0,10.0,6.0,,9.0,12.0,12.0,12.0,12.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.4,0.0,136
1.0,1.0,2.0,1.0,6.0,5.0,3.0,3.0,3.0,3.4,134.0,0.2,-0.0475,0.2,25.0,2.5,13.5725,19.6375,17.9675,16.2775,16.3,16.255000000000003,0.2,7.6,7.6,7.25,8.5,7.5,7.6,7.6,5.4,1.8,26.0,8.0,4.0,1.0,1.0,1.0,4.0,1.0,8.0,6.0,1.0,8.0,8.0,4.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,9.0,9.0,10.0,8.0,3.0,7.0,17.39,17.39,15.220000000000002,17.39,13.039999999999997,19.57,9.0,6.0,5.0,8.0,5.0,8.0,14.89,17.02,17.02,17.02,14.89,19.15,7.0,9.0,8.0,9.0,8.0,,,,,,0.8,7.2,8.6,9.0,7.2,8.0,6.2,7.6,6.0,1.8,2.0,16.67,16.67,16.67,18.75,12.5,18.75,7.0,9.0,9.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.2,0.0,137
2.0,1.0,4.0,1.0,6.0,5.0,3.0,1.0,3.0,3.4,134.0,0.2,-0.1325,0.6,25.0,2.5,13.5725,19.6375,17.9675,16.2775,16.3,16.255000000000003,0.6,8.0,8.0,8.6,8.25,8.25,6.8,7.6,5.25,1.8,32.0,8.0,2.0,9.0,6.0,1.0,3.0,2.0,7.0,7.0,2.0,9.0,8.0,6.0,6.0,1.0,7.0,7.0,9.0,9.0,4.0,9.0,2.0,9.0,6.0,2.0,6.0,20.0,20.0,20.0,20.0,6.67,13.330000000000002,9.0,9.0,7.0,8.0,3.0,7.0,18.37,18.37,16.33,16.33,16.33,14.289999999999997,8.0,8.0,8.0,8.0,8.0,,,,,,0.4,5.0,7.4,7.2,5.4,7.4,3.0,4.0,6.4,2.0,3.0,19.57,19.57,19.57,19.57,8.7,13.039999999999997,8.0,8.0,8.0,8.0,9.0,4.0,1.0,1.0,19.57,17.39,19.57,19.57,13.039999999999997,10.87,9.0,8.0,9.0,9.0,6.0,5.0,17.31,17.31,17.31,17.31,17.31,13.460000000000003,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,138
4.0,1.0,6.0,1.0,6.0,5.0,3.0,5.0,3.0,3.4,134.0,0.0,0.30000000000000004,0.2,25.0,2.5,13.5725,19.6375,17.9675,16.2775,16.3,16.255000000000003,0.2,5.6,7.0,7.5,5.8,7.0,4.8,5.8,4.75,2.0,37.0,5.0,4.0,6.0,1.0,1.0,6.0,3.0,2.0,7.0,5.0,8.0,10.0,9.0,9.0,6.0,5.0,6.0,10.0,8.0,7.0,10.0,8.0,9.0,7.0,8.0,8.0,18.75,16.67,18.75,20.83,12.5,12.5,10.0,9.0,8.0,9.0,3.0,8.0,19.61,19.61,15.690000000000001,19.61,11.76,13.73,8.0,8.0,9.0,9.0,6.0,,,,,,0.8,7.0,8.333333333333334,9.0,7.0,6.8,,7.0,6.8,2.0,2.0,23.81,23.81,14.289999999999997,23.81,2.38,11.9,8.0,10.0,10.0,10.0,7.0,7.0,1.0,1.0,21.43,21.43,14.289999999999997,21.43,9.52,11.9,10.0,9.0,6.0,7.0,2.0,7.0,19.61,19.61,17.65,17.65,11.76,13.73,8.0,9.0,9.0,9.0,7.0,,,,,,0.0,0.0,0.0,,,18.6,18.6,20.93,20.93,6.980000000000001,13.95,,,,,,,9.0,9.0,9.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,4.0,,8.0,8.0,8.0,8.0,5.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.2,0.0,139
6.0,1.0,9.0,1.0,6.0,5.0,3.0,4.0,3.0,3.4,134.0,0.4,-0.16249999999999998,0.6,25.0,2.5,13.5725,19.6375,17.9675,16.2775,16.3,16.255000000000003,0.6,8.0,8.2,8.2,8.4,8.75,7.5,8.0,6.0,1.6,29.0,8.0,2.0,5.0,5.0,1.0,5.0,2.0,7.0,8.0,6.0,8.0,9.0,5.0,5.0,5.0,5.0,7.0,9.0,6.0,7.0,6.0,4.0,5.0,4.0,3.0,6.0,18.6,16.28,18.6,18.6,11.63,16.28,7.0,9.0,8.0,7.0,7.0,9.0,15.559999999999999,17.78,17.78,15.559999999999999,15.559999999999999,17.78,7.0,7.0,9.0,8.0,8.0,,,,,,0.4,6.0,7.4,7.3,7.0,7.0,7.0,6.6,6.8,1.6,2.0,20.0,15.559999999999999,17.78,17.78,13.330000000000002,15.559999999999999,7.0,6.0,8.0,8.0,8.0,6.0,1.0,3.0,20.51,15.38,17.95,17.95,12.819999999999999,15.38,7.0,7.0,7.0,7.0,6.0,7.0,16.67,16.67,16.67,16.67,16.67,16.67,7.0,7.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,140
10.0,1.0,10.0,1.0,6.0,5.0,3.0,2.0,3.0,3.4,134.0,0.2,0.032499999999999994,0.0,25.0,2.5,13.5725,19.6375,17.9675,16.2775,16.3,16.255000000000003,0.2,5.8,6.75,6.75,7.2,6.8,6.25,6.2,4.0,1.6,28.0,8.0,3.0,4.0,4.0,1.0,6.0,2.0,7.0,10.0,10.0,3.0,9.0,5.0,5.0,7.0,5.0,7.0,3.0,8.0,9.0,10.0,8.0,9.0,6.0,6.0,4.0,20.83,20.83,16.67,16.67,6.25,18.75,10.0,9.0,4.0,7.0,8.0,8.0,19.05,7.139999999999999,19.05,23.81,21.43,9.52,7.0,9.0,8.0,8.0,6.0,,,,,,0.8,6.4,8.2,8.0,7.0,6.6,5.4,6.8,7.4,1.8,2.0,20.93,20.93,18.6,18.6,4.65,16.28,7.0,8.0,8.0,8.0,7.0,5.0,3.0,3.0,19.15,19.15,17.02,17.02,10.64,17.02,8.0,8.0,9.0,9.0,7.0,7.0,16.33,18.37,18.37,18.37,14.289999999999997,14.289999999999997,7.0,8.0,8.0,8.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.2,0.0,141
