id,gender,idg,condtn,wave,round,position,positin1,order,partner,pid,match,int_corr,samerace,age_o,race_o,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,dec_o,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,met_o,age,field_cd,race,imprace,imprelig,goal,date,go_out,career_c,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy,expnum,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,dec,attr,sinc,intel,fun,amb,shar,like,prob,met,match_es,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_s,sinc3_s,intel3_s,fun3_s,amb3_s,satis_2,length,numdat_2,attr7_2,sinc7_2,intel7_2,fun7_2,amb7_2,shar7_2,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,you_call,them_cal,date_3,numdat_3,num_in_3,attr1_3,sinc1_3,intel1_3,fun1_3,amb1_3,shar1_3,attr7_3,sinc7_3,intel7_3,fun7_3,amb7_3,shar7_3,attr4_3,sinc4_3,intel4_3,fun4_3,amb4_3,shar4_3,attr2_3,sinc2_3,intel2_3,fun2_3,amb2_3,shar2_3,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3,attr5_3,sinc5_3,intel5_3,fun5_3,amb5_3,lawyer_c,academic_c,psychologist_c,doctor/med_c,engineer_c,creative_art/entertain_c,business/entrepreur,real_estate_c,international/human_affairs_c,undecided,speech_pathology_c,undecided,politics_c,sports/athletics_c,other_c,journalism_c,architecture_c,other,law,math,social science/psych,med/biotech,engineering,english/journalism,"history, religion, philosophy","business, econ, finance",education,"bio, chem, physics",social work,undecided,"poli-sci, inter affairs",film,fine arts,languages,architect,other,field_not_submitted,black,caucasian,latino,asian,other,black_o,caucasian_o,latino_o,asian_o,other_o,iid
1.0,1.0,2.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.0,0.05600000000000001,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.4,5.6,8.8,8.2,5.4,6.4,5.222222222222222,6.2,5.2,1.9,27.0,8.0,2.0,7.0,3.0,1.0,5.0,4.0,2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,7.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,,,,,,,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,,,,,,0.0,6.8,7.8,7.2,7.6,7.1,5.1,6.4,3.5,1.9,0.0,,,,,,,,,,,,7.0,2.0,,,,,,,,19.509999999999998,17.069999999999997,17.069999999999997,17.069999999999997,12.200000000000001,17.069999999999997,,,,,,,,,,,,,8.0,8.0,8.0,6.0,5.0,,,,,,0.0,0.0,0.0,,,35.0,25.0,15.0,15.0,0.0,10.0,,,,,,,,,,,,,,,,,,,7.0,8.0,7.0,7.0,5.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,11
2.0,1.0,4.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.2,0.155,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.4,7.1,6.6,7.1,6.7,6.9,6.111111111111111,6.9,4.2,1.5,22.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,7.0,20.0,60.0,0.0,0.0,40.0,0.0,0.0,,,,,,,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,9.0,10.0,9.0,,,,,,0.3,6.2,6.7,9.1,5.9,5.7,4.7,6.9,3.5,1.7,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,12
3.0,1.0,6.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.4,0.119,0.3,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.4,4.8,7.9,8.8,7.0,5.9,5.888888888888889,6.4,5.111111111111111,1.6,22.0,1.0,4.0,3.0,5.0,2.0,7.0,1.0,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,3.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,,,,,,,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,,,,,,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1.625,,,,,,,,,,,,,10.0,3.0,1.0,,,,,,,20.0,20.0,20.0,20.0,7.5,12.5,,,,,,,,,,,,,3.0,7.0,7.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6,0.0,0.3,0.1,13
4.0,1.0,8.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.8,-0.056999999999999995,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.8,8.2,7.6,7.4,7.6,6.6,7.444444444444445,7.7,5.5,1.6,23.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,8.0,15.0,30.0,5.0,15.0,40.0,5.0,5.0,,,,,,,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,,,,,,1.0,7.2,8.1,7.8,8.2,8.7,8.3,7.5,7.3,1.6,,,,,,,,,,,,,6.0,3.0,,,,,,,,20.0,14.289999999999996,17.139999999999997,22.860000000000003,14.289999999999996,11.430000000000001,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,1.0,1.0,0.0,,,30.0,10.0,20.0,30.0,5.0,5.0,,,,,,,,,,,,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,14
5.0,1.0,10.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.3,0.05199999999999999,0.0,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.3,5.7,7.6,7.7,7.2,6.5,6.666666666666667,6.3,4.777777777777778,1.7,24.0,1.0,3.0,3.0,1.0,1.0,4.0,1.0,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,5.0,9.0,30.0,10.0,20.0,10.0,10.0,20.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,,,,,,0.9,7.6,8.5,8.8,7.5,8.25,6.75,7.7,4.9,1.8,,,,,,,,,,,,,8.0,2.0,1.0,,,,,,,21.210000000000004,18.180000000000003,12.120000000000001,21.210000000000004,6.0600000000000005,21.210000000000004,,,,,,,,,,,,,7.0,7.0,9.0,7.0,9.0,,,,,,3.0,0.0,0.0,,,30.0,10.0,20.0,20.0,5.0,15.0,,,,,,,,,,,,,,,,,,,7.0,7.0,9.0,7.0,9.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,15
6.0,1.0,12.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.2,0.27399999999999997,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.3,5.6,8.4,7.6,4.4,6.0,4.666666666666667,5.6,3.7777777777777777,2.0,25.0,8.0,2.0,9.0,2.0,1.0,5.0,1.0,7.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,7.0,10.0,50.0,0.0,30.0,10.0,0.0,10.0,,,,,,,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,,,,,,0.8,6.666666666666667,7.0,7.2,6.9,7.1,6.8,6.4,6.1,2.0,3.0,,,,,,,,,,,,7.0,2.0,1.0,,,,,,,19.509999999999998,14.629999999999999,17.069999999999997,17.069999999999997,14.629999999999999,17.069999999999997,,,,,,,,,,,,,6.0,7.0,8.0,8.0,7.0,,,,,,0.0,0.0,0.0,,,50.0,0.0,20.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,6.0,6.0,8.0,8.0,8.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,16
7.0,1.0,14.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.1,0.24300000000000002,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.8,6.7,7.6,8.5,6.1,6.7,6.666666666666667,6.9,4.9,2.0,30.0,13.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,4.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,,,,,,,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,6.0,8.0,4.0,,,,,,0.2,5.6,5.0,5.4,4.5,5.4,4.2,4.0,3.4,2.0,1.0,,,,,,,,,,,,5.0,3.0,2.0,,,,,,,30.0,16.670000000000005,20.0,20.0,6.67,6.67,,,,,,,,,,,,,6.0,7.0,8.0,5.0,7.0,,,,,,1.0,1.0,0.0,,,40.0,20.0,25.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,7.0,8.0,8.0,6.0,6.0,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,17
8.0,1.0,16.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.1,0.15300000000000002,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.3,5.1,7.4,7.7,5.2,7.5,5.555555555555555,5.8,5.6,2.0,27.0,8.0,2.0,8.0,8.0,1.0,6.0,1.0,7.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,5.0,2.0,33.32999999999999,11.11,11.11,11.11,11.11,22.22,,,,,,,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,6.0,8.0,9.0,,,,,,0.3,6.4,6.6,6.7,6.3,6.6,5.0,6.7,5.1,2.0,2.0,,,,,,,,,,,,5.0,2.0,1.0,,,,,,,24.389999999999997,12.200000000000001,17.069999999999997,14.629999999999999,14.629999999999999,17.069999999999997,,,,,,,,,,,,,6.0,8.0,8.0,6.0,9.0,,,,,,1.0,0.0,0.0,,,35.0,10.0,15.0,15.0,15.0,10.0,,,,,,,,,,,,,,,,,,,6.0,7.0,8.0,6.0,9.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,18
9.0,1.0,18.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.9,-0.05700000000000001,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.9,7.7,6.8,7.7,8.5,7.1,7.7,7.6,6.9,2.0,28.0,8.0,2.0,1.0,1.0,4.0,1.0,1.0,7.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,20.0,50.0,0.0,25.0,10.0,0.0,15.0,,,,,,,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,,,,,,1.0,7.0,7.0,7.6,8.3,7.6,7.7,7.25,7.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,19
10.0,1.0,20.0,1.0,1.0,10.0,5.5,,5.5,5.5,5.5,0.1,-0.07799999999999999,0.6,23.6,3.0,20.409,14.318000000000001,23.227,22.318,10.318000000000001,9.409,0.9,7.5,7.3,7.9,8.2,8.4,7.3,8.3,6.6,2.0,24.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,7.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,6.0,19.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,,,,,,0.1,6.0,7.3,7.5,6.5,7.9,6.5,6.2,7.2,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,0.1,20
