age_w,imprace_w,imprelig_w,goal_w,date_w,go_out_w,exphappy_w,sports_w,tvsports_w,exercise_w,dining_w,museums_w,art_w,hiking_w,gaming_w,clubbing_w,reading_w,tv_w,theater_w,movies_w,concerts_w,music_w,shopping_w,yoga_w,attr1_1_w,sinc1_1_w,intel1_1_w,fun1_1_w,amb1_1_w,shar1_1_w,attr2_1_w,sinc2_1_w,intel2_1_w,fun2_1_w,amb2_1_w,shar2_1_w,attr3_1_w,sinc3_1_w,fun3_1_w,intel3_1_w,amb3_1_w,dec_w,attr_o_w,fun_o_w,intel_o_w,sinc_o_w,amb_o_w,dec_m,pid,match,age_m,imprace_m,imprelig_m,goal_m,date_m,go_out_m,exphappy_m,sports_m,tvsports_m,exercise_m,dining_m,museums_m,art_m,hiking_m,gaming_m,clubbing_m,reading_m,tv_m,theater_m,movies_m,concerts_m,music_m,shopping_m,yoga_m,attr1_1_m,sinc1_1_m,intel1_1_m,fun1_1_m,amb1_1_m,shar1_1_m,attr2_1_m,sinc2_1_m,intel2_1_m,fun2_1_m,amb2_1_m,shar2_1_m,attr3_1_m,sinc3_1_m,fun3_1_m,intel3_1_m,amb3_1_m,attr_o_m,fun_o_m,intel_o_m,sinc_o_m,amb_o_m
21.0,2.0,4.0,2.0,7.0,1.0,3.0,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,15.0,20.0,20.0,15.0,15.0,15.0,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,1,6.7,7.2,8.0,7.4,8.0,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
24.0,2.0,5.0,1.0,5.0,1.0,4.0,3.0,2.0,7.0,10.0,8.0,6.0,3.0,5.0,8.0,10.0,1.0,9.0,8.0,7.0,8.0,3.0,1.0,45.0,5.0,25.0,20.0,0.0,5.0,65.0,0.0,10.0,25.0,0.0,0.0,7.0,5.0,10.0,8.0,3.0,0,7.7,7.5,7.9,7.1,7.5,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
25.0,8.0,4.0,6.0,3.0,1.0,4.0,3.0,8.0,7.0,8.0,5.0,5.0,8.0,4.0,5.0,7.0,8.0,7.0,7.0,7.0,5.0,8.0,7.0,35.0,10.0,35.0,10.0,10.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,8.0,9.0,8.0,9.0,8.0,0,6.5,6.2,7.3,7.1,7.111111111111111,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
23.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,6.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0,7.0,9.0,7.0,8.0,7.0,1.0,8.0,20.0,20.0,20.0,20.0,10.0,10.0,30.0,10.0,15.0,30.0,5.0,10.0,7.0,8.0,9.0,7.0,8.0,0,7.0,7.5,7.7,7.1,7.7,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
21.0,8.0,1.0,2.0,4.0,1.0,7.0,7.0,4.0,7.0,7.0,6.0,8.0,6.0,6.0,8.0,6.0,8.0,6.0,6.0,3.0,7.0,8.0,3.0,20.0,5.0,25.0,25.0,10.0,15.0,50.0,10.0,10.0,20.0,5.0,5.0,6.0,3.0,6.0,10.0,8.0,0,5.3,7.2,7.6,7.7,7.8,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
23.0,1.0,1.0,1.0,3.0,1.0,4.0,10.0,8.0,9.0,7.0,8.0,7.0,9.0,2.0,6.0,9.0,2.0,5.0,6.0,6.0,4.0,1.0,1.0,10.0,25.0,20.0,25.0,5.0,15.0,25.0,10.0,10.0,25.0,10.0,20.0,5.0,7.0,8.0,9.0,5.0,1,6.8,7.0,8.6,7.8,8.0,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
22.0,2.0,4.0,1.0,5.0,1.0,7.0,5.0,3.0,4.0,10.0,10.0,10.0,2.0,3.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,15.0,15.0,25.0,20.0,15.0,10.0,30.0,12.0,13.0,25.0,10.0,10.0,6.0,6.0,5.0,7.0,7.0,0,7.9,7.0,8.2,7.6,7.5,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
25.0,1.0,1.0,1.0,5.0,1.0,6.0,2.0,2.0,1.0,10.0,9.0,9.0,3.0,2.0,10.0,8.0,10.0,9.0,9.0,6.0,6.0,8.0,6.0,9.09,18.18,27.27,18.18,18.18,9.09,30.0,10.0,20.0,30.0,5.0,5.0,7.0,4.0,8.0,8.0,8.0,1,8.2,7.9,8.1,7.8,7.444444444444445,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
26.0,1.0,1.0,1.0,4.0,1.0,6.0,4.0,3.0,1.0,8.0,6.0,7.0,2.0,2.0,10.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,3.0,20.0,10.0,20.0,30.0,10.0,10.0,30.0,20.0,10.0,20.0,10.0,10.0,7.0,6.0,10.0,7.0,7.0,1,7.0,7.8,7.5,7.4,6.9,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
26.0,4.0,4.0,2.0,6.0,1.0,7.0,9.0,9.0,9.0,7.0,6.0,6.0,7.0,1.0,7.0,8.0,5.0,6.0,7.0,7.0,8.0,7.0,7.0,15.0,15.0,15.0,40.0,10.0,5.0,45.0,10.0,15.0,20.0,5.0,5.0,6.0,8.0,10.0,6.0,9.0,0,6.333333333333333,6.4,6.4,7.0,6.2,0.0,11.0,0.0,27.0,7.0,3.0,1.0,5.0,4.0,7.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,35.0,20.0,20.0,20.0,0.0,5.0,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,5.6,5.4,8.2,8.8,6.4
